Number of Processes,Wallclock Time (s),Solver Time (s),Assembly Time (s),Grid Time (s),Setup DOFs Time (s),FGMRES Iterations,Warnings,Mesh Elements,Total DOFs,Number of Elements
1,34.3,29.3,1.47,0.213,1.99,21,,65536,421573,65536
2,27.9,24.1,1.04,0.183,1.53,21,,65536,421573,65536
4,14.6,12.5,0.54,0.209,0.864,21,,65536,421573,65536
6,12.8,11.0,0.418,0.238,0.713,22,,65536,421573,65536
8,10.4,8.91,0.335,0.17,0.576,20,,65536,421573,65536
10,10.3,7.92,0.273,0.226,0.511,21,,65536,421573,65536
12,8.26,7.0,0.233,0.231,0.457,21,,65536,421573,65536
14,7.05,5.9,0.197,0.221,0.418,21,,65536,421573,65536
16,6.51,5.48,0.164,0.169,0.388,21,,65536,421573,65536
32,4.78,3.85,0.104,0.231,0.325,21,,65536,421573,65536
