num_processes,cycles,mesh_elements,dofs,wallclock_time,solver_time,fgmres_iterations
1,5,"[1024, 1969, 3961, 7633, 14941, 28627]","[7005, 10761, 17659, 30017, 52710, 90878]","[0.23, 0.465, 1.05, 2.64, 7.11, 18.7]","[0.119, 0.288, 0.775, 2.19, 6.35, 17.4]",20
2,5,"[1024, 1969, 3961, 7630, 14950, 28642]","[7005, 10761, 17659, 29992, 52761, 90948]","[0.196, 0.429, 0.913, 2.11, 5.48, 13.3]","[0.0997, 0.288, 0.689, 2.19, 7.4, 17.4]",20
4,5,"[1024, 1969, 3961, 7630, 14941, 28633]","[7005, 10761, 17659, 29992, 52764, 90959]","[0.14, 0.145, 0.28, 0.92, 2.6, 5.9]","[0.0897, 0.206, 0.456, 0.74, 3.4, 6.8]",21
6,5,"[1024, 1969, 3964, 7627, 14935, 28606]","[7005, 10761, 17659, 29994, 52779, 90974]","[0.196, 0.315, 0.616, 1.4, 3.54, 7.9]","[0.0997, 0.206, 0.42, 0.88, 3.6, 7.8]",21
8,5,"[1024, 1969, 3961, 7627, 14941, 28627]","[7005, 10761, 17659, 29967, 52744, 90900]","[0.17, 0.327, 0.56, 1.1, 3.1, 7.88]","[0.0525, 0.163, 0.335, 0.775, 3.2, 7.4]",21
10,5,"[1024, 1969, 3961, 7633, 14941, 28627]","[7005, 10761, 17659, 30017, 52744, 90978]","[0.186, 0.22, 0.45, 1.6, 3.2, 7.6]","[0.063, 0.149, 0.276, 0.64, 2.6, 5.2]",21
12,5,"[1024, 1969, 3961, 7630, 14941, 28627]","[7005, 10761, 17659, 30017, 52761, 90980]","[0.21, 0.275, 0.56, 1.2, 3.0, 7.6]","[0.0791, 0.152, 0.289, 0.58, 2.2, 5.9]",20
14,5,"[1024, 1969, 3961, 7630, 14935, 28633]","[7005, 10761, 17659, 29992, 52789, 90985]","[0.15, 0.24, 0.45, 1.1, 2.8, 7.6]","[0.07, 0.151, 0.238, 0.5, 2.1, 5.7]",20
16,5,"[1024, 1969, 3961, 7627, 14941, 28633]","[7005, 10761, 17659, 30012, 52791, 90995]","[0.2, 0.3, 0.6, 1.2, 3.4, 7.9]","[0.0623, 0.164, 0.255, 0.61, 2.3, 5.4]",20
32,5,"[1024, 1969, 3961, 7627, 14941, 28633]","[7005, 10761, 17659, 29992, 52779, 90999]","[0.15, 0.28, 0.6, 1.3, 3.4, 8.0]","[0.0582, 0.14, 0.18, 0.4, 2.4, 5.5]",20
